# Generated dependency and bundled-library inventory. Columns: name, version, SPDX/license.
bitflags	2.13.1	MIT OR Apache-2.0
cc	1.4.4	MIT OR Apache-2.0
errno	0.3.14	MIT OR Apache-2.0
fallible-iterator	0.3.0	MIT/Apache-2.0
fallible-streaming-iterator	0.1.9	MIT/Apache-2.0
find-msvc-tools	0.1.11	MIT OR Apache-2.0
itoa	1.0.18	MIT OR Apache-2.0
libc	0.2.189	MIT OR Apache-2.0
libsqlite3-sys	0.38.2	MIT
memchr	2.8.3	Unlicense OR MIT
pkg-config	0.3.34	MIT OR Apache-2.0
proc-macro2	1.0.107	MIT OR Apache-2.0
quote	1.0.47	MIT OR Apache-2.0
rusqlite	0.40.2	MIT
serde	1.0.229	MIT OR Apache-2.0
serde_core	1.0.229	MIT OR Apache-2.0
serde_derive	1.0.229	MIT OR Apache-2.0
serde_json	1.0.151	MIT OR Apache-2.0
shlex	2.0.1	MIT OR Apache-2.0
signal-hook	0.4.4	MIT OR Apache-2.0
signal-hook-registry	1.4.8	MIT OR Apache-2.0
smallvec	1.15.2	MIT OR Apache-2.0
sqlite	3.53.2	Public-Domain
syn	3.0.4	MIT OR Apache-2.0
unicode-ident	1.0.24	(MIT OR Apache-2.0) AND Unicode-3.0
vcpkg	0.2.15	MIT/Apache-2.0
windows-link	0.2.1	MIT OR Apache-2.0
windows-sys	0.61.2	MIT OR Apache-2.0
zmij	1.0.23	MIT
